fecha_estandar,iva_tendencia,iva_estacional,iva_residuo,pib_tendencia,pib_estacional,pib_residuo
2007-05-01,4989210.674231,1662445.4948606137,1550176.2649913859,16683000000.0,-940413194.4444455,651813194.4444455
2007-06-01,5012725.981869125,1097396.7859525331,-889831.7648326573,17050500000.0,-397407638.8888886,238107638.8888905
2007-07-01,5087543.487152625,48928.541928894476,91455.24375948065,17358533333.333332,-55379861.111112036,-80753472.22222003
2007-08-01,5164687.969881125,-1731673.04140598,1673247.113266854,17578991666.666664,1194118750.0000002,-474310416.66666436
2007-09-01,5191979.349953624,2010386.4330805237,-1995620.4360561487,17809625000.0,1124513194.4444444,-635338194.4444444
2007-10-01,5322066.817041416,-2486405.744737287,1300409.7358758724,18050433333.333332,-61729861.111110255,-600703472.2222219
2007-11-01,5349562.920647499,347880.96014248225,-358215.015680982,18294633333.333332,1281836805.5555573,-1029270138.8888855
2007-12-01,5304532.215080458,-2469701.3240494556,883773.8956679977,18542533333.333332,5458820138.888893,-1976553472.2222214
2008-01-01,5352833.992718542,2831052.102447535,-694232.3389710765,18796600000.0,-2942724305.5555573,1323724305.5555573
2008-02-01,5357858.995457791,-2238579.2317563733,1405401.3273025816,19061150000.0,-2441215972.2222233,1094465972.2222233
2008-03-01,5414147.9638225,-705508.1765265567,182009.35768405627,19333716666.666668,-1360777083.333335,815060416.666667
2008-04-01,5493905.653197583,1633777.2000630703,-974208.7865566537,19599500000.0,-859640972.2222232,584940972.2222232
2008-05-01,5532759.384444583,1662445.4948606137,-1034703.5846901974,19867133333.333336,-940413194.4444455,398079861.1111096
2008-06-01,5568841.873064958,1097396.7859525331,-485353.4501694911,20169300000.0,-397407638.8888886,138507638.8888886
2008-07-01,5542320.991014667,48928.541928894476,-164673.80264756142,20304000000.0,-55379861.111112036,52179861.111112036
2008-08-01,5496650.021477042,-1731673.04140598,1263236.6699579381,20244416666.666668,1194118750.0000002,131064583.33333182
2008-09-01,5504171.234725207,2010386.4330805237,-878828.6883617309,20182083333.333336,1124513194.4444444,263003472.2222197
2008-10-01,5572026.253662916,-2486405.744737287,1535651.2117903717,20117000000.0,-61729861.111110255,440729861.11111027
2008-11-01,5626075.750857959,347880.96014248225,-187439.20849944017,20051000000.0,1281836805.5555573,529563194.44444656
2008-12-01,5643815.697020333,-2469701.3240494556,963181.5032251221,19984000000.0,5458820138.888893,518779861.1111107
2009-01-01,5667978.936441917,2831052.102447535,-2064569.5413984517,19915333333.333332,-2942724305.5555573,-499009027.7777748
2009-02-01,5722220.770471666,-2238579.2317563733,1000128.5420897072,19843833333.333336,-2441215972.2222233,-414217361.1111126
2009-03-01,5774376.442820416,-705508.1765265567,43201.0068411408,19770166666.666668,-1360777083.333335,-391389583.333333
2009-04-01,5769896.927213875,1633777.2000630703,156900.26577705424,19698333333.333336,-859640972.2222232,-305892361.1111127
